wilayah_kode,wilayah,tahun,value
1500,JAMBI,2007,0.321
7300,SULAWESI SELATAN,2007,0.38
7600,SULAWESI BARAT,2007,0.325
3300,JAWA TENGAH,2007,0.349
5100,BALI,2007,0.348
2100,KEP. RIAU,2007,0.321
3200,JAWA BARAT,2007,0.355
7100,SULAWESI UTARA,2007,0.352
1200,SUMATERA UTARA,2007,0.322
9400,PAPUA,2007,0.36
3400,DI YOGYAKARTA,2007,0.316
3600,BANTEN,2007,0.246
7100,SULAWESI UTARA,2007,0.294
6300,KALIMANTAN SELATAN,2007,0.289
3600,BANTEN,2007,0.356
8200,MALUKU UTARA,2007,0.311
7200,SULAWESI TENGAH,2007,0.33
3400,DI YOGYAKARTA,2007,0.367
1300,SUMATERA BARAT,2007,0.32
5100,BALI,2007,0.345
5200,NUSA TENGGARA BARAT,2007,0.355
3500,JAWA TIMUR,2007,0.289
7400,SULAWESI TENGGARA,2007,0.342
5200,NUSA TENGGARA BARAT,2007,0.296
9100,PAPUA BARAT,2007,0.346
9100,PAPUA BARAT,2007,0.312
3200,JAWA BARAT,2007,0.357
8200,MALUKU UTARA,2007,0.346
3300,JAWA TENGAH,2007,0.285
3400,DI YOGYAKARTA,2007,0.378
1900,KEP. BANGKA BELITUNG,2007,0.297
2100,KEP. RIAU,2007,0.256
2100,KEP. RIAU,2007,0.32
9100,PAPUA BARAT,2007,0.287
1800,LAMPUNG,2007,0.303
6300,KALIMANTAN SELATAN,2007,0.355
3100,DKI JAKARTA,2007,0.367
7400,SULAWESI TENGGARA,2007,0.323
6200,KALIMANTAN TENGAH,2007,0.322
9999,INDONESIA,2007,0.374
1600,SUMATERA SELATAN,2007,0.337
8100,MALUKU,2007,0.325
3300,JAWA TENGAH,2007,0.338
3200,JAWA BARAT,2007,0.279
5300,NUSA TENGGARA TIMUR,2007,0.283
6200,KALIMANTAN TENGAH,2007,0.274
1300,SUMATERA BARAT,2007,0.279
3100,DKI JAKARTA,2007,0.367
1200,SUMATERA UTARA,2007,0.269
7100,SULAWESI UTARA,2007,0.338
1500,JAMBI,2007,0.333
9999,INDONESIA,2007,0.376
5100,BALI,2007,0.295
1600,SUMATERA SELATAN,2007,0.299
1200,SUMATERA UTARA,2007,0.329
5300,NUSA TENGGARA TIMUR,2007,0.363
1800,LAMPUNG,2007,0.436
6400,KALIMANTAN TIMUR,2007,0.351
8200,MALUKU UTARA,2007,0.317
1100,ACEH,2007,0.289
9400,PAPUA,2007,0.317
6100,KALIMANTAN BARAT,2007,0.339
3600,BANTEN,2007,0.379
1700,BENGKULU,2007,0.35
1900,KEP. BANGKA BELITUNG,2007,0.278
1400,RIAU,2007,0.335
1800,LAMPUNG,2007,0.402
3500,JAWA TIMUR,2007,0.348
3500,JAWA TIMUR,2007,0.348
1100,ACEH,2007,0.285
1400,RIAU,2007,0.339
7300,SULAWESI SELATAN,2007,0.358
1600,SUMATERA SELATAN,2007,0.329
8100,MALUKU,2007,0.34
1900,KEP. BANGKA BELITUNG,2007,0.256
7200,SULAWESI TENGAH,2007,0.292
7600,SULAWESI BARAT,2007,0.34
5300,NUSA TENGGARA TIMUR,2007,0.363
8100,MALUKU,2007,0.273
6300,KALIMANTAN SELATAN,2007,0.356
6100,KALIMANTAN BARAT,2007,0.321
1400,RIAU,2007,0.301
1100,ACEH,2007,0.257
7500,GORONTALO,2007,0.308
1700,BENGKULU,2007,0.367
7500,GORONTALO,2007,0.398
6400,KALIMANTAN TIMUR,2007,0.346
6400,KALIMANTAN TIMUR,2007,0.295
1300,SUMATERA BARAT,2007,0.309
7600,SULAWESI BARAT,2007,0.289
1500,JAMBI,2007,0.28
1700,BENGKULU,2007,0.288
9999,INDONESIA,2007,0.302
6100,KALIMANTAN BARAT,2007,0.287
6200,KALIMANTAN TENGAH,2007,0.312
7300,SULAWESI SELATAN,2007,0.31
7500,GORONTALO,2007,0.437
9400,PAPUA,2007,0.422
7400,SULAWESI TENGGARA,2007,0.363
5200,NUSA TENGGARA BARAT,2007,0.339
7200,SULAWESI TENGAH,2007,0.317
6100,KALIMANTAN BARAT,2008,0.298
1300,SUMATERA BARAT,2008,0.304
7100,SULAWESI UTARA,2008,0.295
1400,RIAU,2008,0.325
3500,JAWA TIMUR,2008,0.286
9100,PAPUA BARAT,2008,0.326
7200,SULAWESI TENGAH,2008,0.314
1500,JAMBI,2008,0.283
3300,JAWA TENGAH,2008,0.325
8100,MALUKU,2008,0.324
6300,KALIMANTAN SELATAN,2008,0.365
6400,KALIMANTAN TIMUR,2008,0.278
1600,SUMATERA SELATAN,2008,0.313
3600,BANTEN,2008,0.354
7600,SULAWESI BARAT,2008,0.319
3500,JAWA TIMUR,2008,0.346
3400,DI YOGYAKARTA,2008,0.376
6100,KALIMANTAN BARAT,2008,0.326
2100,KEP. RIAU,2008,0.309
3600,BANTEN,2008,0.255
6400,KALIMANTAN TIMUR,2008,0.362
9400,PAPUA,2008,0.363
7500,GORONTALO,2008,0.307
1900,KEP. BANGKA BELITUNG,2008,0.275
9100,PAPUA BARAT,2008,0.272
7300,SULAWESI SELATAN,2008,0.302
5100,BALI,2008,0.318
6300,KALIMANTAN SELATAN,2008,0.345
5100,BALI,2008,0.281
6200,KALIMANTAN TENGAH,2008,0.275
8200,MALUKU UTARA,2008,0.311
1200,SUMATERA UTARA,2008,0.323
8200,MALUKU UTARA,2008,0.29
1300,SUMATERA BARAT,2008,0.276
1100,ACEH,2008,0.29
9400,PAPUA,2008,0.407
9100,PAPUA BARAT,2008,0.298
1700,BENGKULU,2008,0.335
3200,JAWA BARAT,2008,0.36
1900,KEP. BANGKA BELITUNG,2008,0.279
7100,SULAWESI UTARA,2008,0.295
7300,SULAWESI SELATAN,2008,0.37
7600,SULAWESI BARAT,2008,0.317
3200,JAWA BARAT,2008,0.354
3100,DKI JAKARTA,2008,0.362
6200,KALIMANTAN TENGAH,2008,0.307
3400,DI YOGYAKARTA,2008,0.368
7300,SULAWESI SELATAN,2008,0.354
2100,KEP. RIAU,2008,0.259
5300,NUSA TENGGARA TIMUR,2008,0.349
9999,INDONESIA,2008,0.368
6200,KALIMANTAN TENGAH,2008,0.317
7400,SULAWESI TENGGARA,2008,0.28
8200,MALUKU UTARA,2008,0.339
5200,NUSA TENGGARA BARAT,2008,0.362
3300,JAWA TENGAH,2008,0.332
1100,ACEH,2008,0.253
1500,JAMBI,2008,0.295
1700,BENGKULU,2008,0.348
5200,NUSA TENGGARA BARAT,2008,0.303
7400,SULAWESI TENGGARA,2008,0.338
7600,SULAWESI BARAT,2008,0.323
3300,JAWA TENGAH,2008,0.274
7100,SULAWESI UTARA,2008,0.285
1600,SUMATERA SELATAN,2008,0.316
5300,NUSA TENGGARA TIMUR,2008,0.331
1700,BENGKULU,2008,0.343
1800,LAMPUNG,2008,0.415
3100,DKI JAKARTA,2008,0.362
3200,JAWA BARAT,2008,0.289
1100,ACEH,2008,0.301
1200,SUMATERA UTARA,2008,0.335
7500,GORONTALO,2008,0.35
1900,KEP. BANGKA BELITUNG,2008,0.268
7200,SULAWESI TENGAH,2008,0.34
7500,GORONTALO,2008,0.353
5100,BALI,2008,0.313
2100,KEP. RIAU,2008,0.316
1800,LAMPUNG,2008,0.362
9400,PAPUA,2008,0.309
3500,JAWA TIMUR,2008,0.345
3400,DI YOGYAKARTA,2008,0.3
1300,SUMATERA BARAT,2008,0.308
6400,KALIMANTAN TIMUR,2008,0.359
9999,INDONESIA,2008,0.367
8100,MALUKU,2008,0.272
5300,NUSA TENGGARA TIMUR,2008,0.29
9999,INDONESIA,2008,0.3
5200,NUSA TENGGARA BARAT,2008,0.342
8100,MALUKU,2008,0.3
1200,SUMATERA UTARA,2008,0.272
6300,KALIMANTAN SELATAN,2008,0.273
1400,RIAU,2008,0.295
1400,RIAU,2008,0.328
1600,SUMATERA SELATAN,2008,0.291
3600,BANTEN,2008,0.344
6100,KALIMANTAN BARAT,2008,0.344
1800,LAMPUNG,2008,0.292
1500,JAMBI,2008,0.297
7200,SULAWESI TENGAH,2008,0.321
7400,SULAWESI TENGGARA,2008,0.327
5300,NUSA TENGGARA TIMUR,2009,0.357
7300,SULAWESI SELATAN,2009,0.296
1400,RIAU,2009,0.326
5100,BALI,2009,0.316
5100,BALI,2009,0.256
3500,JAWA TIMUR,2009,0.333
1700,BENGKULU,2009,0.319
1900,KEP. BANGKA BELITUNG,2009,0.277
1700,BENGKULU,2009,0.276
1800,LAMPUNG,2009,0.353
3200,JAWA BARAT,2009,0.282
7200,SULAWESI TENGAH,2009,0.338
1900,KEP. BANGKA BELITUNG,2009,0.29
8100,MALUKU,2009,0.312
6300,KALIMANTAN SELATAN,2009,0.371
6400,KALIMANTAN TIMUR,2009,0.355
1500,JAMBI,2009,0.276
1100,ACEH,2009,0.25
7600,SULAWESI BARAT,2009,0.301
1100,ACEH,2009,0.288
7300,SULAWESI SELATAN,2009,0.375
6200,KALIMANTAN TENGAH,2009,0.262
8200,MALUKU UTARA,2009,0.292
1200,SUMATERA UTARA,2009,0.327
3600,BANTEN,2009,0.279
6400,KALIMANTAN TIMUR,2009,0.283
5200,NUSA TENGGARA BARAT,2009,0.354
6300,KALIMANTAN SELATAN,2009,0.348
5200,NUSA TENGGARA BARAT,2009,0.398
9100,PAPUA BARAT,2009,0.327
6200,KALIMANTAN TENGAH,2009,0.293
3300,JAWA TENGAH,2009,0.331
7500,GORONTALO,2009,0.355
1800,LAMPUNG,2009,0.39
7300,SULAWESI SELATAN,2009,0.394
5100,BALI,2009,0.315
3300,JAWA TENGAH,2009,0.319
3600,BANTEN,2009,0.369
7400,SULAWESI TENGGARA,2009,0.359
7100,SULAWESI UTARA,2009,0.311
7100,SULAWESI UTARA,2009,0.315
7600,SULAWESI BARAT,2009,0.328
1800,LAMPUNG,2009,0.296
1300,SUMATERA BARAT,2009,0.268
3100,DKI JAKARTA,2009,0.356
9100,PAPUA BARAT,2009,0.353
2100,KEP. RIAU,2009,0.291
5300,NUSA TENGGARA TIMUR,2009,0.305
3200,JAWA BARAT,2009,0.365
7400,SULAWESI TENGGARA,2009,0.37
7500,GORONTALO,2009,0.326
1900,KEP. BANGKA BELITUNG,2009,0.288
3400,DI YOGYAKARTA,2009,0.312
1100,ACEH,2009,0.291
7200,SULAWESI TENGAH,2009,0.336
9999,INDONESIA,2009,0.295
6100,KALIMANTAN BARAT,2009,0.343
9100,PAPUA BARAT,2009,0.259
3300,JAWA TENGAH,2009,0.274
6300,KALIMANTAN SELATAN,2009,0.295
6400,KALIMANTAN TIMUR,2009,0.379
1200,SUMATERA UTARA,2009,0.26
3400,DI YOGYAKARTA,2009,0.367
6200,KALIMANTAN TENGAH,2009,0.29
1300,SUMATERA BARAT,2009,0.298
6100,KALIMANTAN BARAT,2009,0.288
1400,RIAU,2009,0.331
1300,SUMATERA BARAT,2009,0.289
2100,KEP. RIAU,2009,0.239
9400,PAPUA,2009,0.334
9999,INDONESIA,2009,0.367
8100,MALUKU,2009,0.319
1600,SUMATERA SELATAN,2009,0.313
3400,DI YOGYAKARTA,2009,0.376
8100,MALUKU,2009,0.265
7100,SULAWESI UTARA,2009,0.3
9400,PAPUA,2009,0.383
5300,NUSA TENGGARA TIMUR,2009,0.339
3100,DKI JAKARTA,2009,0.356
1700,BENGKULU,2009,0.302
6100,KALIMANTAN BARAT,2009,0.321
5200,NUSA TENGGARA BARAT,2009,0.299
1400,RIAU,2009,0.311
1500,JAMBI,2009,0.269
9400,PAPUA,2009,0.292
3500,JAWA TIMUR,2009,0.334
8200,MALUKU UTARA,2009,0.249
7200,SULAWESI TENGAH,2009,0.311
3500,JAWA TIMUR,2009,0.278
1500,JAMBI,2009,0.245
8200,MALUKU UTARA,2009,0.327
9999,INDONESIA,2009,0.372
1600,SUMATERA SELATAN,2009,0.27
3600,BANTEN,2009,0.357
3200,JAWA BARAT,2009,0.378
7400,SULAWESI TENGGARA,2009,0.265
1600,SUMATERA SELATAN,2009,0.326
7600,SULAWESI BARAT,2009,0.279
2100,KEP. RIAU,2009,0.287
7500,GORONTALO,2009,0.338
1200,SUMATERA UTARA,2009,0.317
5300,NUSA TENGGARA TIMUR,2010,0.345
1500,JAMBI,2010,0.301
7200,SULAWESI TENGAH,2010,0.366
7300,SULAWESI SELATAN,2010,0.37
1800,LAMPUNG,2010,0.36
6100,KALIMANTAN BARAT,2010,0.402
3100,DKI JAKARTA,2010,0.361
1800,LAMPUNG,2010,0.309
3600,BANTEN,2010,0.419
6200,KALIMANTAN TENGAH,2010,0.304
1300,SUMATERA BARAT,2010,0.315
8100,MALUKU,2010,0.303
2100,KEP. RIAU,2010,0.293
3200,JAWA BARAT,2010,0.357
7100,SULAWESI UTARA,2010,0.379
3600,BANTEN,2010,0.289
7500,GORONTALO,2010,0.374
1400,RIAU,2010,0.326
8200,MALUKU UTARA,2010,0.278
1400,RIAU,2010,0.286
3100,DKI JAKARTA,2010,0.361
1200,SUMATERA UTARA,2010,0.346
1900,KEP. BANGKA BELITUNG,2010,0.296
1700,BENGKULU,2010,0.319
3400,DI YOGYAKARTA,2010,0.331
5100,BALI,2010,0.366
3500,JAWA TIMUR,2010,0.335
7200,SULAWESI TENGAH,2010,0.334
1700,BENGKULU,2010,0.365
6200,KALIMANTAN TENGAH,2010,0.295
6400,KALIMANTAN TIMUR,2010,0.344
6300,KALIMANTAN SELATAN,2010,0.394
5300,NUSA TENGGARA TIMUR,2010,0.347
1200,SUMATERA UTARA,2010,0.371
3500,JAWA TIMUR,2010,0.287
7600,SULAWESI BARAT,2010,0.383
1300,SUMATERA BARAT,2010,0.325
8200,MALUKU UTARA,2010,0.336
3300,JAWA TENGAH,2010,0.341
1500,JAMBI,2010,0.304
3400,DI YOGYAKARTA,2010,0.407
1100,ACEH,2010,0.312
3500,JAWA TIMUR,2010,0.337
1800,LAMPUNG,2010,0.397
7100,SULAWESI UTARA,2010,0.37
3300,JAWA TENGAH,2010,0.297
7200,SULAWESI TENGAH,2010,0.371
7400,SULAWESI TENGGARA,2010,0.351
6300,KALIMANTAN SELATAN,2010,0.306
9999,INDONESIA,2010,0.382
8100,MALUKU,2010,0.329
6400,KALIMANTAN TIMUR,2010,0.368
1300,SUMATERA BARAT,2010,0.306
9999,INDONESIA,2010,0.378
3300,JAWA TENGAH,2010,0.357
1600,SUMATERA SELATAN,2010,0.348
6300,KALIMANTAN SELATAN,2010,0.366
2100,KEP. RIAU,2010,0.306
5100,BALI,2010,0.313
2100,KEP. RIAU,2010,0.227
1500,JAMBI,2010,0.293
5300,NUSA TENGGARA TIMUR,2010,0.378
1900,KEP. BANGKA BELITUNG,2010,0.255
8100,MALUKU,2010,0.322
9400,PAPUA,2010,0.414
5200,NUSA TENGGARA BARAT,2010,0.328
1200,SUMATERA UTARA,2010,0.279
7400,SULAWESI TENGGARA,2010,0.421
7300,SULAWESI SELATAN,2010,0.361
1400,RIAU,2010,0.32
1700,BENGKULU,2010,0.397
3200,JAWA BARAT,2010,0.356
6400,KALIMANTAN TIMUR,2010,0.31
1600,SUMATERA SELATAN,2010,0.309
6100,KALIMANTAN BARAT,2010,0.309
7500,GORONTALO,2010,0.438
3600,BANTEN,2010,0.419
5100,BALI,2010,0.37
6100,KALIMANTAN BARAT,2010,0.37
7600,SULAWESI BARAT,2010,0.33
7300,SULAWESI SELATAN,2010,0.404
7600,SULAWESI BARAT,2010,0.364
9100,PAPUA BARAT,2010,0.381
9100,PAPUA BARAT,2010,0.346
3200,JAWA BARAT,2010,0.298
1900,KEP. BANGKA BELITUNG,2010,0.314
3400,DI YOGYAKARTA,2010,0.404
9999,INDONESIA,2010,0.315
1600,SUMATERA SELATAN,2010,0.34
9100,PAPUA BARAT,2010,0.291
7400,SULAWESI TENGGARA,2010,0.413
7100,SULAWESI UTARA,2010,0.34
9400,PAPUA,2010,0.294
5200,NUSA TENGGARA BARAT,2010,0.396
1100,ACEH,2010,0.301
1100,ACEH,2010,0.261
6200,KALIMANTAN TENGAH,2010,0.298
9400,PAPUA,2010,0.408
7500,GORONTALO,2010,0.431
5200,NUSA TENGGARA BARAT,2010,0.444
8200,MALUKU UTARA,2010,0.29
7600,SULAWESI BARAT,2011,0.35
9100,PAPUA BARAT,2011,0.285
6300,KALIMANTAN SELATAN,2011,0.353
7500,GORONTALO,2011,0.4
8200,MALUKU UTARA,2011,0.289
7300,SULAWESI SELATAN,2011,0.356
2100,KEP. RIAU,2011,0.382
1800,LAMPUNG,2011,0.322
1900,KEP. BANGKA BELITUNG,2011,0.284
8200,MALUKU UTARA,2011,0.334
7400,SULAWESI TENGGARA,2011,0.367
1700,BENGKULU,2011,0.332
2100,KEP. RIAU,2011,0.379
3400,DI YOGYAKARTA,2011,0.358
7300,SULAWESI SELATAN,2011,0.427
6300,KALIMANTAN SELATAN,2011,0.387
1400,RIAU,2011,0.329
7300,SULAWESI SELATAN,2011,0.371
8200,MALUKU UTARA,2011,0.28
3200,JAWA BARAT,2011,0.316
7600,SULAWESI BARAT,2011,0.313
3600,BANTEN,2011,0.404
2100,KEP. RIAU,2011,0.312
8100,MALUKU,2011,0.402
1200,SUMATERA UTARA,2011,0.347
1600,SUMATERA SELATAN,2011,0.34
6400,KALIMANTAN TIMUR,2011,0.323
5100,BALI,2011,0.407
1800,LAMPUNG,2011,0.321
9999,INDONESIA,2011,0.329
1100,ACEH,2011,0.269
5300,NUSA TENGGARA TIMUR,2011,0.33
7100,SULAWESI UTARA,2011,0.296
6400,KALIMANTAN TIMUR,2011,0.366
3600,BANTEN,2011,0.388
1800,LAMPUNG,2011,0.366
1900,KEP. BANGKA BELITUNG,2011,0.301
6300,KALIMANTAN SELATAN,2011,0.307
3500,JAWA TIMUR,2011,0.374
1100,ACEH,2011,0.28
1900,KEP. BANGKA BELITUNG,2011,0.32
3100,DKI JAKARTA,2011,0.438
1700,BENGKULU,2011,0.34
6400,KALIMANTAN TIMUR,2011,0.333
6100,KALIMANTAN BARAT,2011,0.336
1600,SUMATERA SELATAN,2011,0.342
1900,KEP. BANGKA BELITUNG,2011,0.314
7100,SULAWESI UTARA,2011,0.386
3200,JAWA BARAT,2011,0.411
1500,JAMBI,2011,0.324
8200,MALUKU UTARA,2011,0.316
1600,SUMATERA SELATAN,2011,0.365
1400,RIAU,2011,0.324
3100,DKI JAKARTA,2011,0.402
7600,SULAWESI BARAT,2011,0.413
1400,RIAU,2011,0.378
1300,SUMATERA BARAT,2011,0.332
7200,SULAWESI TENGAH,2011,0.389
5100,BALI,2011,0.387
1700,BENGKULU,2011,0.402
6200,KALIMANTAN TENGAH,2011,0.338
8100,MALUKU,2011,0.412
7200,SULAWESI TENGAH,2011,0.388
7300,SULAWESI SELATAN,2011,0.405
3200,JAWA BARAT,2011,0.38
9999,INDONESIA,2011,0.422
9100,PAPUA BARAT,2011,0.379
5300,NUSA TENGGARA TIMUR,2011,0.365
3500,JAWA TIMUR,2011,0.387
5100,BALI,2011,0.384
9100,PAPUA BARAT,2011,0.416
7100,SULAWESI UTARA,2011,0.358
3200,JAWA BARAT,2011,0.422
6300,KALIMANTAN SELATAN,2011,0.358
5200,NUSA TENGGARA BARAT,2011,0.336
1100,ACEH,2011,0.326
8100,MALUKU,2011,0.337
1600,SUMATERA SELATAN,2011,0.401
6400,KALIMANTAN TIMUR,2011,0.299
6400,KALIMANTAN TIMUR,2011,0.375
3400,DI YOGYAKARTA,2011,0.387
9400,PAPUA,2011,0.384
7400,SULAWESI TENGGARA,2011,0.406
3400,DI YOGYAKARTA,2011,0.423
7200,SULAWESI TENGAH,2011,0.349
7400,SULAWESI TENGGARA,2011,0.363
3300,JAWA TENGAH,2011,0.357
1300,SUMATERA BARAT,2011,0.349
3300,JAWA TENGAH,2011,0.324
1700,BENGKULU,2011,0.36
6100,KALIMANTAN BARAT,2011,0.401
7400,SULAWESI TENGGARA,2011,0.389
8100,MALUKU,2011,0.356
8100,MALUKU,2011,0.34
8100,MALUKU,2011,0.389
9999,INDONESIA,2011,0.396
9999,INDONESIA,2011,0.41
7600,SULAWESI BARAT,2011,0.342
3400,DI YOGYAKARTA,2011,0.401
7600,SULAWESI BARAT,2011,0.371
3300,JAWA TENGAH,2011,0.414
6100,KALIMANTAN BARAT,2011,0.417
3500,JAWA TIMUR,2011,0.303
5300,NUSA TENGGARA TIMUR,2011,0.312
7200,SULAWESI TENGAH,2011,0.376
9100,PAPUA BARAT,2011,0.335
1700,BENGKULU,2011,0.386
7500,GORONTALO,2011,0.458
3100,DKI JAKARTA,2011,0.438
3100,DKI JAKARTA,2011,0.402
7300,SULAWESI SELATAN,2011,0.442
3300,JAWA TENGAH,2011,0.335
7400,SULAWESI TENGGARA,2011,0.373
1500,JAMBI,2011,0.34
1900,KEP. BANGKA BELITUNG,2011,0.339
1300,SUMATERA BARAT,2011,0.353
3600,BANTEN,2011,0.295
6200,KALIMANTAN TENGAH,2011,0.317
7400,SULAWESI TENGGARA,2011,0.413
1400,RIAU,2011,0.332
9400,PAPUA,2011,0.342
7500,GORONTALO,2011,0.384
5200,NUSA TENGGARA BARAT,2011,0.396
7300,SULAWESI SELATAN,2011,0.395
5100,BALI,2011,0.328
1400,RIAU,2011,0.296
3400,DI YOGYAKARTA,2011,0.39
1100,ACEH,2011,0.37
6200,KALIMANTAN TENGAH,2011,0.339
1500,JAMBI,2011,0.349
8200,MALUKU UTARA,2011,0.343
1300,SUMATERA BARAT,2011,0.353
7600,SULAWESI BARAT,2011,0.374
5100,BALI,2011,0.409
3600,BANTEN,2011,0.321
1400,RIAU,2011,0.363
8200,MALUKU UTARA,2011,0.292
3500,JAWA TIMUR,2011,0.358
7500,GORONTALO,2011,0.418
6100,KALIMANTAN BARAT,2011,0.363
1800,LAMPUNG,2011,0.34
6100,KALIMANTAN BARAT,2011,0.358
1100,ACEH,2011,0.326
6300,KALIMANTAN SELATAN,2011,0.324
7100,SULAWESI UTARA,2011,0.348
9400,PAPUA,2011,0.335
9100,PAPUA BARAT,2011,0.374
3500,JAWA TIMUR,2011,0.298
3200,JAWA BARAT,2011,0.39
2100,KEP. RIAU,2011,0.299
3200,JAWA BARAT,2011,0.297
6200,KALIMANTAN TENGAH,2011,0.32
